visit_id,tw_start,tw_end,date,demand_bucket,issue,overlapping_empty_shifts,overlapping_shifts,overlapping_shifts_with_idle_in_window
K026_2026-03-23_200,2026-03-23T15:00:00+00:00,2026-03-23T17:05:00+00:00,2026-03-23,evening,config,0,7,0
K039_2026-03-16_287,2026-03-16T16:04:00+00:00,2026-03-16T17:29:00+00:00,2026-03-16,evening,config,0,7,0
K039_2026-03-20_287,2026-03-20T16:04:00+00:00,2026-03-20T17:29:00+00:00,2026-03-20,evening,config,0,7,0
K039_2026-03-25_287,2026-03-25T16:04:00+00:00,2026-03-25T17:29:00+00:00,2026-03-25,evening,config,0,7,0
K039_2026-03-26_287,2026-03-26T16:04:00+00:00,2026-03-26T17:29:00+00:00,2026-03-26,evening,config,0,7,0
K069_2026-03-21_479,2026-03-21T15:35:00+00:00,2026-03-21T16:32:00+00:00,2026-03-21,evening,config,0,7,0
K074_2026-03-26_514,2026-03-26T16:00:00+00:00,2026-03-26T16:55:00+00:00,2026-03-26,evening,config,0,7,0
K091_2026-03-17_590,2026-03-17T19:30:00+00:00,2026-03-17T20:22:00+00:00,2026-03-17,evening,config,0,7,0
K091_2026-03-26_590,2026-03-26T19:30:00+00:00,2026-03-26T20:22:00+00:00,2026-03-26,evening,config,0,7,0
K096_2026-03-28_624,2026-03-28T15:30:00+00:00,2026-03-28T16:50:00+00:00,2026-03-28,evening,config,0,7,0
K106_2026-03-16_653,2026-03-16T15:15:00+00:00,2026-03-16T15:35:00+00:00,2026-03-16,evening,config,0,7,0
K106_2026-03-17_653,2026-03-17T15:15:00+00:00,2026-03-17T15:35:00+00:00,2026-03-17,evening,config,0,7,0
K106_2026-03-18_653,2026-03-18T15:15:00+00:00,2026-03-18T15:35:00+00:00,2026-03-18,evening,config,0,7,0
K106_2026-03-19_653,2026-03-19T15:15:00+00:00,2026-03-19T15:35:00+00:00,2026-03-19,evening,config,0,7,0
K106_2026-03-20_653,2026-03-20T15:15:00+00:00,2026-03-20T15:35:00+00:00,2026-03-20,evening,config,0,7,0
K106_2026-03-21_653,2026-03-21T15:15:00+00:00,2026-03-21T15:35:00+00:00,2026-03-21,evening,config,0,7,1
K106_2026-03-22_653,2026-03-22T15:15:00+00:00,2026-03-22T15:35:00+00:00,2026-03-22,evening,config,0,7,1
