visit_id,tw_start,tw_end,date,demand_bucket,issue,overlapping_empty_shifts,overlapping_shifts,overlapping_shifts_with_idle_in_window
H025_r10_7,2026-03-09T11:00:00+01:00,2026-03-09T12:09:00+01:00,2026-03-09,day,config,52,151,109
H025_r10_7,2026-03-10T11:00:00+01:00,2026-03-10T12:09:00+01:00,2026-03-10,day,config,57,151,114
H025_r10_7,2026-03-11T11:00:00+01:00,2026-03-11T12:09:00+01:00,2026-03-11,day,config,58,151,113
H025_r10_7,2026-03-13T11:00:00+01:00,2026-03-13T12:09:00+01:00,2026-03-13,day,config,66,151,116
H025_r10_8,2026-03-09T11:00:00+01:00,2026-03-09T12:09:00+01:00,2026-03-09,day,config,52,151,109
H025_r10_8,2026-03-10T11:00:00+01:00,2026-03-10T12:09:00+01:00,2026-03-10,day,config,57,151,114
H025_r10_8,2026-03-11T11:00:00+01:00,2026-03-11T12:09:00+01:00,2026-03-11,day,config,58,151,113
H025_r10_8,2026-03-13T11:00:00+01:00,2026-03-13T12:09:00+01:00,2026-03-13,day,config,66,151,116
H034_r44_3,2026-03-02T11:25:00+01:00,2026-03-02T12:55:00+01:00,2026-03-02,day,config,55,151,103
H034_r44_3,2026-03-03T11:25:00+01:00,2026-03-03T12:55:00+01:00,2026-03-03,day,config,57,151,108
H034_r44_3,2026-03-05T11:25:00+01:00,2026-03-05T12:55:00+01:00,2026-03-05,day,config,66,151,112
H034_r44_6,2026-03-09T11:25:00+01:00,2026-03-09T12:55:00+01:00,2026-03-09,day,config,52,151,105
H034_r44_6,2026-03-10T11:25:00+01:00,2026-03-10T12:55:00+01:00,2026-03-10,day,config,57,151,109
H034_r44_6,2026-03-12T11:25:00+01:00,2026-03-12T12:55:00+01:00,2026-03-12,day,config,66,151,113
H034_r46_1,2026-03-02T11:40:00+01:00,2026-03-02T13:40:00+01:00,2026-03-02,day,config,55,151,102
H034_r46_6,2026-03-09T11:40:00+01:00,2026-03-09T13:40:00+01:00,2026-03-09,day,config,52,151,101
H034_r47_1,2026-03-02T19:25:00+01:00,2026-03-02T21:15:00+01:00,2026-03-02,evening,config,6,41,21
H034_r47_8,2026-03-09T19:25:00+01:00,2026-03-09T21:15:00+01:00,2026-03-09,evening,config,6,41,20
H039_r80_1,2026-03-02T09:54:00+01:00,2026-03-02T13:10:00+01:00,2026-03-02,day,config,55,151,85
H039_r80_1,2026-03-03T09:54:00+01:00,2026-03-03T13:10:00+01:00,2026-03-03,day,config,57,151,97
H039_r80_1,2026-03-04T09:54:00+01:00,2026-03-04T13:10:00+01:00,2026-03-04,day,config,63,151,100
H039_r80_1,2026-03-05T09:54:00+01:00,2026-03-05T13:10:00+01:00,2026-03-05,day,config,66,151,105
H039_r80_1,2026-03-06T09:54:00+01:00,2026-03-06T13:10:00+01:00,2026-03-06,day,config,62,151,95
H039_r80_1,2026-03-07T09:54:00+01:00,2026-03-07T13:10:00+01:00,2026-03-07,day,config,81,161,114
