client,nr_visits,continuity,cci
H015,44,8,0.1591
H025,42,8,0.1497
H026,109,8,0.1689
H027,3,2,0.5556
H029,59,8,0.2479
H031,3,2,0.5556
H034,44,7,0.1581
H035,88,8,0.2020
H037,45,8,0.1556
H038,50,8,0.1640
H039,45,8,0.2000
H041,64,7,0.2432
H047,30,7,0.2711
H048,34,8,0.1436
H053,39,8,0.1427
H055,93,8,0.1604
H061,1,1,1.0000
H072,50,8,0.1800
H077,13,6,0.2308
H081,32,8,0.1582
H086,95,8,0.1703
H087,2,2,0.5000
H092,38,8,0.1648
H095,83,8,0.1679
H096,35,8,0.1559
H097,84,8,0.1837
H107,10,6,0.2000
H113,4,2,0.5000
H114,28,8,0.2117
H125,33,8,0.1497
H145,83,8,0.1369
H154,76,8,0.1402
H155,16,6,0.2031
H157,49,8,0.2170
H160,2,2,0.5000
H164,1,1,1.0000
H172,66,8,0.2002
H181,16,4,0.2812
H182,97,8,0.1742
H194,2,2,0.5000
H200,34,8,0.1626
H230,16,8,0.1484
H235,22,7,0.2066
H238,84,8,0.1803
H239,28,8,0.1811
H240,1,1,1.0000
H243,33,7,0.1864
H244,62,8,0.1665
H248,92,8,0.1458
H269,10,6,0.2000
H270,47,8,0.1689
H284,59,8,0.1635
H287,1,1,1.0000
H288,9,3,0.5062
H289,7,4,0.3061
H290,90,8,0.1472
H293,57,8,0.1794
H295,4,3,0.3750
H297,1,1,1.0000
H299,10,5,0.2400
H300,60,8,0.2028
H301,64,8,0.1465
H302,39,8,0.1374
H312,1,1,1.0000
H314,29,8,0.1534
H315,60,8,0.1622
H322,69,8,0.1666
H323,97,8,0.1491
H324,47,8,0.1761
H326,2,1,1.0000
H327,54,6,0.2181
H328,2,1,1.0000
H331,51,8,0.1972
H332,83,8,0.1369
H333,3,2,0.5556
H334,20,7,0.2850
H335,6,3,0.3889
H337,62,8,0.2008
H339,1,1,1.0000
H341,1,1,1.0000
H342,1,1,1.0000
H346,2,1,1.0000
H349,44,8,0.1694
H351,76,8,0.1427
H354,60,8,0.1561
H355,6,3,0.3889
H357,2,2,0.5000
H358,4,3,0.3750
H360,44,8,0.1519
H361,1,1,1.0000
H362,37,6,0.2652
H363,90,8,0.1407
H364,1,1,1.0000
H365,88,7,0.2162
H366,19,8,0.1801
H367,30,8,0.1556
H369,66,8,0.1460
