client,nr_visits,continuity
H015_r0,10,8
H015_r1,4,4
H015_r2,10,8
H015_r3,1,1
H015_r4,4,4
H015_r5,14,7
H025_r10,4,4
H025_r11,14,8
H025_r6,10,8
H025_r7,4,4
H025_r8,8,7
H025_r9,2,2
H026_r12,10,9
H026_r13,10,7
H026_r14,4,3
H026_r15,4,4
H026_r16,4,4
H026_r17,4,4
H026_r18,1,1
H026_r19,4,4
H026_r20,4,4
H026_r21,10,9
H026_r22,10,8
H026_r23,14,7
H026_r24,14,7
H026_r25,14,8
H026_r26,14,6
H027_r27,2,2
H029_r28,1,1
H029_r29,10,6
H029_r30,4,4
H029_r31,1,1
H029_r32,10,9
H029_r33,4,4
H029_r34,14,6
H029_r35,14,5
H031_r36,1,1
H034_r37,4,3
H034_r38,10,8
H034_r39,4,4
H034_r40,4,4
H034_r41,8,6
H034_r42,14,7
H035_r43,4,4
H035_r44,4,3
H035_r45,10,6
H035_r46,10,8
H035_r47,4,4
H035_r48,4,4
H035_r49,4,4
H035_r50,4,4
H035_r51,10,9
H035_r52,10,8
H035_r53,14,8
H035_r54,14,6
H035_r55,14,5
H035_r56,14,8
H037_r57,10,7
H037_r58,4,4
H037_r59,2,2
H037_r60,1,1
H037_r61,4,4
H037_r62,10,9
H037_r63,8,5
H037_r64,6,5
H038_r65,10,8
H038_r66,2,2
H038_r67,6,6
H038_r68,2,2
H038_r69,2,2
H038_r70,10,8
H038_r71,4,4
H038_r72,14,8
H039_r73,10,9
H039_r74,4,4
H039_r75,2,2
H039_r76,1,1
H039_r77,14,7
H039_r78,14,6
H041_r79,10,7
H041_r80,4,4
H041_r81,4,4
H041_r82,2,2
H041_r83,2,2
H041_r84,2,2
H041_r85,10,9
H041_r86,2,2
H041_r87,14,6
H041_r88,14,6
H047_r89,4,4
H047_r90,4,3
H047_r91,10,7
H047_r92,2,2
H047_r93,14,7
H048_r94,1,1
H048_r95,10,9
H048_r96,2,2
H048_r97,2,2
H048_r98,4,4
H048_r99,14,6
H053_r100,4,4
H053_r101,10,7
H053_r102,6,4
H053_r103,10,8
H053_r104,2,2
H053_r105,4,4
H053_r106,2,2
H055_r107,2,2
H055_r108,2,2
H055_r109,2,2
H055_r110,2,2
H055_r111,2,2
H055_r112,4,3
H055_r113,14,6
H072_r114,2,2
H072_r115,2,2
H072_r116,2,2
H072_r117,2,2
H072_r118,2,2
H072_r119,4,4
H072_r120,2,2
H072_r121,2,2
H072_r122,2,2
H072_r123,2,2
H072_r124,2,2
H072_r125,4,4
H072_r126,14,7
H077_r127,2,2
H077_r128,2,2
H077_r129,2,2
H077_r130,2,2
H077_r131,2,2
H077_r132,2,2
H081_r133,2,2
H081_r134,2,2
H081_r135,2,2
H081_r136,4,3
H081_r137,2,2
H081_r138,2,2
H081_r139,14,6
H086_r140,4,3
H086_r141,2,2
H086_r142,2,2
H086_r143,2,2
H086_r144,2,2
H086_r145,2,2
H086_r146,2,2
H086_r147,2,2
H086_r148,2,2
H086_r149,2,2
H086_r150,2,2
H086_r151,2,2
H086_r152,2,2
H086_r153,2,2
H086_r154,2,2
H086_r155,2,2
H086_r156,4,4
H086_r157,2,2
