visit_id,tw_start,tw_end,date,demand_bucket,issue,overlapping_empty_shifts,overlapping_shifts,overlapping_shifts_with_idle_in_window
144,2026-02-23T16:14:00+01:00,2026-02-23T17:24:00+01:00,2026-02-23,evening,config,0,7,0
158,2026-02-23T16:14:00+01:00,2026-02-23T17:24:00+01:00,2026-02-23,evening,config,0,7,0
145,2026-02-17T16:14:00+01:00,2026-02-17T17:24:00+01:00,2026-02-17,evening,config,0,7,0
159,2026-02-17T16:14:00+01:00,2026-02-17T17:24:00+01:00,2026-02-17,evening,config,0,7,0
147,2026-02-18T16:14:00+01:00,2026-02-18T17:24:00+01:00,2026-02-18,evening,config,0,7,0
161,2026-02-18T16:14:00+01:00,2026-02-18T17:24:00+01:00,2026-02-18,evening,config,0,7,0
148,2026-02-25T16:14:00+01:00,2026-02-25T17:24:00+01:00,2026-02-25,evening,config,0,7,0
162,2026-02-25T16:14:00+01:00,2026-02-25T17:24:00+01:00,2026-02-25,evening,config,0,7,0
149,2026-02-19T16:14:00+01:00,2026-02-19T17:24:00+01:00,2026-02-19,evening,config,0,7,0
163,2026-02-19T16:14:00+01:00,2026-02-19T17:24:00+01:00,2026-02-19,evening,config,0,7,0
150,2026-02-26T16:14:00+01:00,2026-02-26T17:24:00+01:00,2026-02-26,evening,config,0,7,0
164,2026-02-26T16:14:00+01:00,2026-02-26T17:24:00+01:00,2026-02-26,evening,config,0,7,0
151,2026-02-20T16:14:00+01:00,2026-02-20T17:24:00+01:00,2026-02-20,evening,config,0,7,0
165,2026-02-20T16:14:00+01:00,2026-02-20T17:24:00+01:00,2026-02-20,evening,config,0,7,0
152,2026-02-27T16:14:00+01:00,2026-02-27T17:24:00+01:00,2026-02-27,evening,config,0,7,0
166,2026-02-27T16:14:00+01:00,2026-02-27T17:24:00+01:00,2026-02-27,evening,config,0,7,0
153,2026-02-21T16:14:00+01:00,2026-02-21T17:24:00+01:00,2026-02-21,evening,config,0,7,0
167,2026-02-21T16:14:00+01:00,2026-02-21T17:24:00+01:00,2026-02-21,evening,config,0,7,0
154,2026-02-28T16:14:00+01:00,2026-02-28T17:24:00+01:00,2026-02-28,evening,config,0,7,0
168,2026-02-28T16:14:00+01:00,2026-02-28T17:24:00+01:00,2026-02-28,evening,config,0,7,0
155,2026-02-22T16:14:00+01:00,2026-02-22T17:24:00+01:00,2026-02-22,evening,config,0,7,0
169,2026-02-22T16:14:00+01:00,2026-02-22T17:24:00+01:00,2026-02-22,evening,config,0,7,0
156,2026-03-01T16:14:00+01:00,2026-03-01T17:24:00+01:00,2026-03-01,evening,config,0,7,0
170,2026-03-01T16:14:00+01:00,2026-03-01T17:24:00+01:00,2026-03-01,evening,config,0,7,0
172,2026-02-23T19:25:00+01:00,2026-02-23T20:20:00+01:00,2026-02-23,evening,config,0,7,0
186,2026-02-23T19:25:00+01:00,2026-02-23T20:05:00+01:00,2026-02-23,evening,config,0,7,0
173,2026-02-17T19:25:00+01:00,2026-02-17T20:20:00+01:00,2026-02-17,evening,config,0,7,0
187,2026-02-17T19:25:00+01:00,2026-02-17T20:05:00+01:00,2026-02-17,evening,config,0,7,0
180,2026-02-27T19:25:00+01:00,2026-02-27T20:20:00+01:00,2026-02-27,evening,config,0,7,0
194,2026-02-27T19:25:00+01:00,2026-02-27T20:05:00+01:00,2026-02-27,evening,config,0,7,0
357,2026-02-16T16:51:00+01:00,2026-02-16T17:46:00+01:00,2026-02-16,evening,config,0,7,0
371,2026-02-16T16:51:00+01:00,2026-02-16T17:53:00+01:00,2026-02-16,evening,config,0,7,0
358,2026-02-23T16:51:00+01:00,2026-02-23T17:46:00+01:00,2026-02-23,evening,config,0,7,0
372,2026-02-23T16:51:00+01:00,2026-02-23T17:53:00+01:00,2026-02-23,evening,config,0,7,0
359,2026-02-17T16:51:00+01:00,2026-02-17T17:46:00+01:00,2026-02-17,evening,config,0,7,0
373,2026-02-17T16:51:00+01:00,2026-02-17T17:53:00+01:00,2026-02-17,evening,config,0,7,0
360,2026-02-24T16:51:00+01:00,2026-02-24T17:46:00+01:00,2026-02-24,evening,config,0,7,0
374,2026-02-24T16:51:00+01:00,2026-02-24T17:53:00+01:00,2026-02-24,evening,config,0,7,0
361,2026-02-18T16:51:00+01:00,2026-02-18T17:46:00+01:00,2026-02-18,evening,config,0,7,0
