visit_id,tw_start,tw_end,date,demand_bucket,issue,overlapping_empty_shifts,overlapping_shifts,overlapping_shifts_with_idle_in_window
147,2026-02-18T16:14:00+01:00,2026-02-18T17:24:00+01:00,2026-02-18,evening,config,0,7,0
161,2026-02-18T16:14:00+01:00,2026-02-18T17:24:00+01:00,2026-02-18,evening,config,0,7,0
149,2026-02-19T16:14:00+01:00,2026-02-19T17:24:00+01:00,2026-02-19,evening,config,0,7,0
163,2026-02-19T16:14:00+01:00,2026-02-19T17:24:00+01:00,2026-02-19,evening,config,0,7,0
150,2026-02-26T16:14:00+01:00,2026-02-26T17:24:00+01:00,2026-02-26,evening,config,0,7,0
164,2026-02-26T16:14:00+01:00,2026-02-26T17:24:00+01:00,2026-02-26,evening,config,0,7,0
151,2026-02-20T16:14:00+01:00,2026-02-20T17:24:00+01:00,2026-02-20,evening,config,0,7,0
165,2026-02-20T16:14:00+01:00,2026-02-20T17:24:00+01:00,2026-02-20,evening,config,0,7,0
152,2026-02-27T16:14:00+01:00,2026-02-27T17:24:00+01:00,2026-02-27,evening,config,0,7,0
166,2026-02-27T16:14:00+01:00,2026-02-27T17:24:00+01:00,2026-02-27,evening,config,0,7,0
153,2026-02-21T16:14:00+01:00,2026-02-21T17:24:00+01:00,2026-02-21,evening,config,0,7,0
167,2026-02-21T16:14:00+01:00,2026-02-21T17:24:00+01:00,2026-02-21,evening,config,0,7,0
154,2026-02-28T16:14:00+01:00,2026-02-28T17:24:00+01:00,2026-02-28,evening,config,0,7,0
168,2026-02-28T16:14:00+01:00,2026-02-28T17:24:00+01:00,2026-02-28,evening,config,0,7,0
155,2026-02-22T16:14:00+01:00,2026-02-22T17:24:00+01:00,2026-02-22,evening,config,0,7,0
169,2026-02-22T16:14:00+01:00,2026-02-22T17:24:00+01:00,2026-02-22,evening,config,0,7,0
156,2026-03-01T16:14:00+01:00,2026-03-01T17:24:00+01:00,2026-03-01,evening,config,0,7,0
170,2026-03-01T16:14:00+01:00,2026-03-01T17:24:00+01:00,2026-03-01,evening,config,0,7,0
180,2026-02-27T19:25:00+01:00,2026-02-27T20:20:00+01:00,2026-02-27,evening,config,0,7,0
194,2026-02-27T19:25:00+01:00,2026-02-27T20:05:00+01:00,2026-02-27,evening,config,0,7,0
365,2026-02-20T16:51:00+01:00,2026-02-20T17:46:00+01:00,2026-02-20,evening,config,0,7,0
379,2026-02-20T16:51:00+01:00,2026-02-20T17:53:00+01:00,2026-02-20,evening,config,0,7,0
366,2026-02-27T16:51:00+01:00,2026-02-27T17:46:00+01:00,2026-02-27,evening,config,0,7,0
380,2026-02-27T16:51:00+01:00,2026-02-27T17:53:00+01:00,2026-02-27,evening,config,0,7,0
367,2026-02-21T16:51:00+01:00,2026-02-21T17:46:00+01:00,2026-02-21,evening,config,0,7,0
381,2026-02-21T16:51:00+01:00,2026-02-21T17:53:00+01:00,2026-02-21,evening,config,0,7,0
368,2026-02-28T16:51:00+01:00,2026-02-28T17:46:00+01:00,2026-02-28,evening,config,0,7,0
382,2026-02-28T16:51:00+01:00,2026-02-28T17:53:00+01:00,2026-02-28,evening,config,0,7,0
369,2026-02-22T16:51:00+01:00,2026-02-22T17:46:00+01:00,2026-02-22,evening,config,0,7,0
383,2026-02-22T16:51:00+01:00,2026-02-22T17:53:00+01:00,2026-02-22,evening,config,0,7,0
370,2026-03-01T16:51:00+01:00,2026-03-01T17:46:00+01:00,2026-03-01,evening,config,0,7,0
384,2026-03-01T16:51:00+01:00,2026-03-01T17:53:00+01:00,2026-03-01,evening,config,0,7,0
2387,2026-02-21T20:00:00+01:00,2026-02-21T21:19:00+01:00,2026-02-21,evening,config,0,7,0
2401,2026-02-21T19:59:00+01:00,2026-02-21T21:14:00+01:00,2026-02-21,evening,config,0,7,0
2389,2026-02-22T20:00:00+01:00,2026-02-22T21:19:00+01:00,2026-02-22,evening,config,0,7,0
2403,2026-02-22T19:59:00+01:00,2026-02-22T21:14:00+01:00,2026-02-22,evening,config,0,7,0
