client,nr_visits,continuity
Client-001,42,25
Client-002,44,19
Client-003,100,27
Client-004,2,2
Client-005,56,9
Client-006,2,1
Client-007,42,11
Client-008,84,18
Client-009,42,20
Client-010,42,20
Client-011,42,9
Client-012,56,14
Client-013,28,9
Client-014,28,5
Client-015,28,7
Client-016,28,15
Client-017,42,11
Client-018,12,5
Client-019,28,10
Client-020,84,21
Client-021,84,10
Client-022,24,3
Client-023,72,23
Client-024,30,12
Client-025,82,17
Client-026,8,3
Client-027,2,2
Client-028,28,12
Client-029,28,10
Client-030,69,12
Client-031,74,19
Client-032,14,6
Client-033,44,10
Client-034,56,10
Client-035,20,4
Client-036,85,24
Client-037,28,14
Client-038,62,20
Client-039,13,9
Client-040,18,14
Client-041,84,16
Client-042,28,9
Client-043,28,5
Client-044,60,11
Client-045,84,11
Client-046,8,7
Client-047,46,15
Client-048,22,4
Client-049,58,9
Client-050,6,6
Client-051,84,26
Client-052,54,11
Client-053,4,3
Client-054,9,4
Client-055,56,10
Client-056,58,17
Client-057,42,16
Client-058,24,4
Client-059,56,17
Client-060,42,16
Client-061,66,21
Client-062,74,20
Client-063,42,10
Client-064,38,17
Client-065,46,13
Client-066,76,10
Client-067,18,12
Client-068,4,4
Client-069,58,15
Client-070,60,20
Client-071,56,8
Client-072,42,20
Client-073,56,16
Client-074,56,28
Client-075,2,2
Client-076,58,28
Client-077,86,27
Client-078,32,10
Client-079,84,18
Client-080,44,18
Client-081,56,17
