client,nr_visits,continuity
Client-001,42,23
Client-002,44,25
Client-003,110,25
Client-004,2,2
Client-005,56,11
Client-006,2,1
Client-007,42,12
Client-008,88,24
Client-009,42,19
Client-010,42,24
Client-011,42,11
Client-012,56,15
Client-013,28,9
Client-014,28,7
Client-015,28,7
Client-016,28,17
Client-017,42,13
Client-018,12,5
Client-019,28,11
Client-020,84,26
Client-021,84,12
Client-022,24,5
Client-023,72,23
Client-024,30,13
Client-025,82,14
Client-026,8,4
Client-027,2,2
Client-028,28,14
Client-029,28,10
Client-030,69,17
Client-031,74,20
Client-032,14,5
Client-033,44,12
Client-034,56,11
Client-035,20,8
Client-036,85,24
Client-037,28,14
Client-038,62,20
Client-039,13,6
Client-040,18,9
Client-041,84,16
Client-042,28,8
Client-043,28,3
Client-044,60,12
Client-045,84,14
Client-046,8,5
Client-047,46,13
Client-048,22,4
Client-049,58,10
Client-050,6,4
Client-051,84,26
Client-052,54,9
Client-053,4,3
Client-054,9,4
Client-055,56,11
Client-056,60,21
Client-057,42,16
Client-058,24,4
Client-059,56,23
Client-060,42,19
Client-061,66,25
Client-062,74,23
Client-063,42,11
Client-064,38,19
Client-065,46,15
Client-066,76,9
Client-067,18,12
Client-068,4,4
Client-069,58,20
Client-070,60,18
Client-071,56,10
Client-072,42,20
Client-073,56,19
Client-074,56,24
Client-075,2,2
Client-076,58,27
Client-077,86,27
Client-078,32,11
Client-079,84,19
Client-080,44,22
Client-081,56,18
