client,nr_visits,continuity
H015,42,28
H025,44,29
H026,112,30
H027,2,2
H029,56,22
H031,2,2
H034,42,24
H035,110,36
H037,42,25
H038,42,23
H039,42,17
H041,56,17
H047,28,18
H048,28,17
H053,28,12
H055,28,18
H072,42,17
H077,12,9
H081,28,15
H086,84,34
H087,84,24
H092,24,15
H095,72,29
H096,30,17
H097,82,20
H107,8,5
H113,2,2
H114,28,20
H125,28,19
H145,69,27
H154,74,31
H155,14,11
H157,44,24
H172,56,23
H181,20,14
H182,85,32
H200,28,18
H216,62,25
H230,13,11
H235,18,14
H238,84,24
H239,28,17
H243,28,13
H244,60,23
H248,84,23
H269,8,7
H270,46,15
H280,22,10
H284,58,25
H288,6,6
H290,84,29
H293,54,18
H295,4,4
H299,9,5
H300,56,26
H301,60,26
H302,42,18
H314,24,13
H315,56,25
H317,42,21
H322,66,26
H323,74,30
H324,42,21
H327,38,21
H331,46,23
H332,72,27
H334,18,11
H335,4,4
H337,58,24
H338,60,24
H345,56,25
H349,42,26
H351,56,30
H354,56,22
H355,2,2
H360,58,27
H361,86,33
H362,32,20
H363,84,25
H364,44,19
HN13,56,20
