client,nr_visits,continuity
Client-001,42,3
Client-002,44,3
Client-003,86,6
Client-004,2,1
Client-005,56,3
Client-006,2,1
Client-007,42,3
Client-008,84,5
Client-009,42,3
Client-010,42,3
Client-011,42,3
Client-012,56,3
Client-013,28,2
Client-014,28,3
Client-015,28,2
Client-016,28,3
Client-017,42,3
Client-018,12,1
Client-019,28,3
Client-020,84,4
Client-021,84,3
Client-022,24,1
Client-023,72,3
Client-024,30,2
Client-025,82,4
Client-026,8,1
Client-027,2,2
Client-028,28,3
Client-029,28,3
Client-030,69,3
Client-031,74,3
Client-032,14,2
Client-033,44,3
Client-034,56,3
Client-035,20,2
Client-036,85,3
Client-037,28,2
Client-038,62,3
Client-039,13,3
Client-040,18,2
Client-041,84,3
Client-042,28,3
Client-043,28,2
Client-044,60,3
Client-045,84,3
Client-046,8,2
Client-047,46,2
Client-048,22,1
Client-049,58,3
Client-050,6,1
Client-051,84,3
Client-052,54,3
Client-053,4,1
Client-054,9,1
Client-055,56,3
Client-056,48,5
Client-057,42,2
Client-058,24,1
Client-059,56,3
Client-060,42,3
Client-061,66,3
Client-062,74,4
Client-063,42,3
Client-064,38,2
Client-065,46,3
Client-066,76,3
Client-067,18,2
Client-068,4,1
Client-069,58,3
Client-070,60,4
Client-071,56,3
Client-072,42,3
Client-073,56,3
Client-074,56,3
Client-075,2,1
Client-076,58,4
Client-077,86,3
Client-078,32,3
Client-079,84,3
Client-080,44,3
Client-081,56,3
