client,nr_visits,continuity
H015_r0,10,6
H015_r1,4,4
H015_r2,10,7
H015_r3,1,1
H015_r4,4,3
H015_r5,14,6
H025_r10,4,3
H025_r11,14,6
H025_r6,10,6
H025_r7,4,4
H025_r8,8,6
H025_r9,2,1
H026_r12,10,7
H026_r13,10,6
H026_r14,4,3
H026_r15,4,4
H026_r16,4,3
H026_r17,4,4
H026_r18,1,1
H026_r19,4,4
H026_r20,4,4
H026_r21,10,7
H026_r22,10,8
H026_r23,14,6
H026_r24,14,6
H026_r25,14,6
H026_r26,14,6
H027_r27,2,2
H029_r28,1,1
H029_r29,10,6
H029_r30,4,4
H029_r31,1,1
H029_r32,10,8
H029_r33,4,4
H029_r34,14,6
H029_r35,14,5
H031_r36,1,1
H034_r37,4,4
H034_r38,10,7
H034_r39,6,5
H034_r40,4,3
H034_r41,10,7
H034_r42,14,5
H035_r43,4,4
H035_r44,4,3
H035_r45,10,7
H035_r46,10,7
H035_r47,4,2
H035_r48,4,4
H035_r49,4,4
H035_r50,4,3
H035_r51,10,6
H035_r52,10,8
H035_r53,14,6
H035_r54,14,6
H035_r55,14,6
H035_r56,14,6
H037_r57,10,6
H037_r58,4,3
H037_r59,2,2
H037_r60,1,1
H037_r61,4,4
H037_r62,10,7
H037_r63,8,5
H037_r64,6,5
H038_r65,10,7
H038_r66,2,2
H038_r67,6,5
H038_r68,2,2
H038_r69,2,2
H038_r70,10,5
H038_r71,4,3
H038_r72,14,5
H039_r73,10,6
H039_r74,4,3
H039_r75,2,2
H039_r76,1,1
H039_r77,14,6
H039_r78,14,5
H041_r79,10,7
H041_r80,4,4
H041_r81,4,4
H041_r82,2,2
H041_r83,2,2
H041_r84,2,2
H041_r85,10,7
H041_r86,2,2
H041_r87,14,5
H041_r88,14,6
H047_r89,4,4
H047_r90,4,4
H047_r91,10,6
H047_r92,2,1
H047_r93,14,5
H048_r94,1,1
H048_r95,10,7
H048_r96,2,2
H048_r97,2,2
H048_r98,4,4
H048_r99,14,5
H053_r100,4,3
H053_r101,10,7
H053_r102,6,6
H053_r103,10,7
H053_r104,2,2
H053_r105,4,4
H053_r106,2,2
