client,nr_visits,continuity
(continuity = number of distinct caregivers; lower is better)
--------------------------------------------------
000f9a82-c5c7-4c84-acfe-bfac3fe9390b,1,1
0047c345-6f48-4890-872f-3a998f440601,1,1
0059eab5-a9d4-4b2b-9c9f-07c5c9dfbb90,1,1
006b5252-4dc2-411a-82d1-a57c2e96714a,1,1
007779e5-8d39-4423-b819-1da52267adf9,1,1
009d00b8-7371-4666-a6df-23894c28b0ee,1,1
009d5b9b-e6aa-4bd9-8ab7-d1eec2275a8b,1,1
00c5e6c4-ab45-458c-bc4d-41fe82c24ed7,1,1
00c80bdd-3bc3-43d1-84ae-417f57572e3d,1,1
00cd8edf-019d-4759-85f2-bb2cb7fd181b,1,1
00f4f9bd-31d4-40cc-998a-74eb0e33bcb5,1,1
00f87bba-a6bd-4556-b152-76a79f26af2a,1,1
010569ea-f596-4453-96ad-a31f4676ca58,1,1
010e6359-c3c4-452c-beab-baeedb637fdf,1,1
01137ab4-bdec-45e8-b4a1-56db47751e95,1,1
0136dde0-600a-4987-b564-d3b0ffda221c,1,1
0139df0b-6020-48bc-9ca1-35fe67b24ac3,1,1
013a6412-6851-4672-83c6-f2516028a48b,1,1
013c5302-2821-453e-93fc-8b01ffcfd5e2,1,1
01460be1-3321-4aed-8a15-f5a1d6c59966,1,1
01954adf-0cee-446e-95e5-127f20a9d70e,1,1
01a74c17-1563-4f20-ab7d-22749d136323,1,1
01bfdce1-4e7f-4824-905c-9a8dd753ad37,1,1
01c90b79-c342-4b11-9e55-ef21edf4d435,1,1
01d1c554-c75f-48ef-ae4b-d853bcf2b836,1,1
01e80c76-b2ac-4e78-b7db-8270f1132f62,1,1
0225b71e-1a90-4756-9607-261ae1f57b0e,1,1
02654203-b0a1-4eaa-a34f-b76c0aec397b,1,1
027ecc24-741f-4a03-8a9e-da2b3ac079de,1,1
02809c92-a37f-4918-bcfe-d80273c4d575,1,1
028cd9af-3839-4236-acb1-2a3bbf85d515,1,1
