client,nr_visits,continuity
H015,44,40
H025,42,37
H026,121,81
H027,3,3
H029,59,44
H031,3,3
H034,42,35
H035,120,77
H037,45,42
H038,50,46
H039,42,36
H041,64,49
H047,30,28
H048,30,29
H053,39,36
H055,93,73
H061,1,1
H072,50,37
H077,13,12
H081,32,29
H086,95,75
H087,2,2
H092,38,33
H095,83,66
H096,35,31
H097,84,67
H107,22,22
H113,4,4
H114,28,26
H125,33,30
H145,83,68
H154,76,64
H155,16,15
H157,49,42
H160,2,2
H164,1,1
H172,58,48
H181,16,15
H182,97,70
H194,2,2
H200,34,31
H230,16,16
H235,22,20
H238,84,62
H239,28,26
H240,1,1
H243,33,29
H244,56,47
H248,92,73
H269,10,10
H270,47,40
H284,55,40
H287,1,1
H288,9,9
H289,5,5
H290,90,70
H293,57,47
H295,4,4
H297,1,1
H299,10,9
H300,60,48
H301,64,52
H302,39,34
H312,1,1
H314,29,28
H315,60,48
H322,69,57
H323,97,70
H324,47,41
H326,2,2
H327,50,43
H328,2,2
H331,51,46
H332,83,61
H333,3,3
H334,20,18
H335,6,6
H337,62,53
H339,1,1
H341,1,1
H342,1,1
H346,2,2
H349,44,40
H351,76,57
H354,60,51
H355,6,6
H357,2,2
H358,4,4
H360,44,38
H361,1,1
H362,37,34
H363,90,71
H364,1,1
H365,88,71
H366,19,18
H367,30,28
H369,66,54
HN01_r637_1,1,1
HN02_r638_1,1,1
HN03_r639_1,1,1
HN04_r640_1,1,1
HN05_r641_1,1,1
HN07_r642_1,1,1
HN08_r643_1,1,1
HN12_r644_1,1,1
HN13_r645_1,1,1
HN13_r645_10,1,1
HN13_r645_2,1,1
HN13_r645_3,1,1
HN13_r645_4,1,1
HN13_r645_5,1,1
HN13_r645_6,1,1
HN13_r645_7,1,1
HN13_r645_8,1,1
HN13_r645_9,1,1
HN13_r646_1,1,1
HN13_r646_2,1,1
HN13_r646_3,1,1
HN13_r646_4,1,1
HN13_r647_1,1,1
HN13_r647_2,1,1
HN13_r648_1,1,1
HN13_r649_1,1,1
HN13_r649_2,1,1
HN13_r649_3,1,1
HN13_r649_4,1,1
HN13_r650_1,1,1
HN13_r650_10,1,1
HN13_r650_2,1,1
HN13_r650_3,1,1
HN13_r650_4,1,1
HN13_r650_5,1,1
HN13_r650_6,1,1
HN13_r650_7,1,1
HN13_r650_8,1,1
HN13_r650_9,1,1
HN13_r651_1,1,1
HN13_r651_2,1,1
HN13_r652_1,1,1
HN13_r653_1,1,1
HN13_r653_10,1,1
HN13_r653_11,1,1
HN13_r653_12,1,1
HN13_r653_13,1,1
HN13_r653_14,1,1
HN13_r653_2,1,1
HN13_r653_3,1,1
HN13_r653_4,1,1
HN13_r653_5,1,1
HN13_r653_6,1,1
HN13_r653_7,1,1
HN13_r653_8,1,1
HN13_r653_9,1,1
HN13_r654_1,1,1
HN13_r654_10,1,1
HN13_r654_11,1,1
HN13_r654_12,1,1
HN13_r654_13,1,1
HN13_r654_14,1,1
HN13_r654_2,1,1
HN13_r654_3,1,1
HN13_r654_4,1,1
HN13_r654_5,1,1
HN13_r654_6,1,1
HN13_r654_7,1,1
HN13_r654_8,1,1
HN13_r654_9,1,1
HN15_r655_1,1,1
HN16_r656_1,1,1
HN17_r657_1,1,1
HN19_r658_1,1,1
HN20_r659_1,1,1
HN22_r660_1,1,1
HN23_r661_1,1,1
HN24_r662_1,1,1
HN25_r663_1,1,1
