client,nr_visits,continuity,cci,bice_cci
H015,88,69,0.0173,0.0060
H025,84,66,0.0196,0.0077
H026,241,114,0.0181,0.0140
H027,6,6,0.1667,0.0000
H029,117,81,0.0186,0.0102
H031,6,5,0.2222,0.0667
H034,84,62,0.0190,0.0072
H035,240,121,0.0144,0.0103
H037,84,64,0.0184,0.0066
H038,100,70,0.0178,0.0079
H039,86,50,0.0273,0.0159
H041,128,82,0.0176,0.0098
H047,60,44,0.0283,0.0119
H048,60,47,0.0272,0.0107
H053,77,60,0.0201,0.0072
H055,186,110,0.0129,0.0076
H061,1,1,1.0000,
H072,100,75,0.0170,0.0071
H077,25,24,0.0432,0.0033
H081,64,52,0.0249,0.0094
H086,190,113,0.0120,0.0068
H087,3,3,0.3333,0.0000
H092,76,60,0.0194,0.0063
H095,165,100,0.0144,0.0084
H096,70,53,0.0224,0.0083
H097,167,104,0.0145,0.0086
H107,44,36,0.0351,0.0127
H113,8,8,0.1250,0.0000
H114,56,42,0.0312,0.0136
H125,66,50,0.0248,0.0098
H145,165,99,0.0158,0.0098
H154,152,91,0.0158,0.0093
H155,31,28,0.0385,0.0065
H157,98,65,0.0206,0.0105
H160,4,4,0.2500,0.0000
H164,1,1,1.0000,
H172,116,73,0.0193,0.0108
H181,31,28,0.0385,0.0065
H182,193,111,0.0128,0.0076
H194,4,4,0.2500,0.0000
H200,68,54,0.0251,0.0105
H230,31,28,0.0406,0.0086
H235,44,41,0.0258,0.0032
H238,168,106,0.0154,0.0096
H239,56,44,0.0268,0.0091
H240,2,2,0.5000,0.0000
H243,66,55,0.0211,0.0061
H244,112,67,0.0218,0.0130
H248,184,111,0.0119,0.0065
H269,20,16,0.0850,0.0368
H270,93,56,0.0281,0.0175
H284,108,71,0.0182,0.0090
H287,2,2,0.5000,0.0000
H288,18,17,0.0617,0.0065
H289,10,9,0.1200,0.0222
H290,180,111,0.0122,0.0067
H293,114,76,0.0197,0.0110
H295,8,8,0.1250,0.0000
H297,2,2,0.5000,0.0000
H299,20,20,0.0500,0.0000
H300,119,75,0.0174,0.0091
H301,128,83,0.0162,0.0085
H302,78,56,0.0227,0.0100
H312,2,2,0.5000,0.0000
H314,58,50,0.0232,0.0060
H315,120,77,0.0207,0.0125
H322,138,76,0.0217,0.0146
H323,193,107,0.0141,0.0090
H324,94,71,0.0172,0.0066
H326,4,4,0.2500,0.0000
H327,108,82,0.0146,0.0054
H328,4,4,0.2500,0.0000
H331,102,78,0.0150,0.0052
H332,165,104,0.0132,0.0072
H333,6,6,0.1667,0.0000
H334,39,35,0.0309,0.0054
H335,12,10,0.1111,0.0303
H337,124,78,0.0177,0.0097
H339,1,1,1.0000,
H341,1,1,1.0000,
H342,1,1,1.0000,
H346,3,2,0.5556,0.3333
H349,88,65,0.0196,0.0084
H351,151,102,0.0151,0.0086
H354,120,77,0.0187,0.0105
H355,10,10,0.1000,0.0000
H357,4,4,0.2500,0.0000
H358,6,6,0.1667,0.0000
H360,88,68,0.0183,0.0071
H361,2,2,0.5000,0.0000
H362,73,53,0.0238,0.0103
H363,180,107,0.0160,0.0106
H364,2,2,0.5000,0.0000
H365,176,108,0.0128,0.0072
H366,38,35,0.0305,0.0043
